date,source_repo,category,summary,proposed_touch_points,status,resolved_date,resolved_evidence
2026-07-23,agentteams,agentteams-remediation,".claude/CLAUDE.md's Authority Hierarchy and Source Repositories sections cite bare 'templates/' and a nonexistent 'src/' (renamed to agentteams/ in commit 5f6c923); found during audit of the Goose CLI capabilities reference work — the ambiguity makes it plausible a contributor edits the confirmed-stale root-level templates/ directory (see prior 2026-07-22 entry) instead of agentteams/templates/, since the authority doc itself never disambiguates.",.claude/CLAUDE.md (Authority Hierarchy / Source Repositories sections),shipped,2026-07-30,.claude/CLAUDE.md: nine citations corrected from src/ and bare templates/ to agentteams/ and agentteams/templates/.
2026-07-23,agentteams,agentteams-remediation,"security.template.md's Mandatory Review Triggers table (the mechanically-gating table, inside the security_rules_invariant Invariant Core fence) has no dedicated row for software installation (brew/apt/dnf/etc.) or privileged sudo commands. This gap became directly relevant this session: the new cli-tool-discovery.reference.template.md now explicitly tells agents they may install missing tools via a package manager, but the trigger table that determines what @security must review before an action proceeds doesn't cover that action class -- only Rule S-4's general destructive-operation prose does, which is weaker than a table row. Not fixed here per this session's own plan (editing Invariant Core content was ruled out of scope); the new reference doc names the gap honestly rather than overclaiming coverage (caught by @conflict-auditor close-out review).","agentteams/templates/universal/security.template.md (Mandatory Review Triggers table, inside security_rules_invariant fence -- requires a deliberate version bump, not a routine edit)",shipped,2026-07-31,"Two rows added to the trigger table in security.template.md (fence bumped v3 -> v4, so it propagates to deployed teams): package-manager installation (brew/apt/dnf/pip/npm) under 'supply chain — unreviewed third-party code on the host', and elevated-privilege commands (sudo/doas/Administrator) under 'privilege escalation'. Closes the gap the cli-tool-discovery reference opened by telling agents they may install tools."
2026-07-23,agentteams,agentteams-remediation,"Rule S-9's criterion 5 (Pathway Safety Verification, security.template.md) was narrowed today to 'privileged or stateful' external interaction, explicitly excluding routine read-only public-data fetches (the fix for a real conflict with the goose-bridge-entry-actionability fix). @security's re-review flagged one remaining ambiguity this narrowing doesn't resolve: a read-only GET with no write and no persisted session but a real-world cost side effect (e.g. a metered/paid API call) is neither clearly 'privileged/stateful' nor clearly a free inert 'routine public fetch' under the current wording. Not a security hole (no credential/data exposure), but a cost-control gap outside Rule S-9's current stated purpose. Not fixed here -- flagged as a non-blocking follow-up by @security during close-out.","agentteams/templates/universal/security.template.md (Rule S-9 criterion 5, inside security_rules_invariant fence -- additive wording only, matching today's established pattern for this fence)",shipped,2026-07-31,"Criterion 5 in security.template.md now names the metered/paid-endpoint edge explicitly: a read-only GET that bills per call is NOT a criterion-5 match (no credential or data exposure), but is handled as a disclosure obligation — state that the endpoint is metered and roughly what a run costs. Cost control stays outside S-9's stated purpose, which is exposure; naming the boundary stops it being resolved silently either way."
2026-07-23,agentteams,agentteams-remediation,"OPSEC: .claude/agents/references/memory-index.json (tracked, already committed/pushed in prior history) contains hundreds of absolute filesystem paths with the local OS username, referencing paths across multiple unrelated projects (shared-data, shared-libs, other repos under githubrepositories), not just this project's own path. This project's own path prefix was sanitized in this session's fix-forward commit (1937cbc); the remaining cross-project path variants were not, since a blunt find-replace risks corrupting JSON structure across many differently-shaped absolute paths and deserves a careful, dedicated pass rather than a rushed sed. Git history in this and at least two other repos (researchteam, OrthodoxLLM) retains the original unsanitized values regardless of any working-copy fix -- a full remediation would require history rewrite (filter-repo/BFG), a separate, explicit, user-authorized decision given it rewrites already-pushed public history.",".claude/agents/references/memory-index.json (whatever internal tool/process generates and updates this file -- not found in agentteams/*.py's own source, likely a separate Claude-Code-specific memory/session-index mechanism); git history on affected branches if a rewrite is ever authorized",shipped,2026-07-30,"memory_index.redact_local_paths applied at snippet construction (both paths); committed index regenerated and contains 0 absolute home paths, asserted by tests/test_memory_index.py."
2026-07-23,agentteams,agentteams-remediation,"AUTHORING-GUIDE.md's §6 (""Verify runtime capability before authoring instruction content"") doesn't name a specific recurring sub-pattern this session hit twice within goose.py: when a generator function has no manifest/team-composition access (confirmed: _goose_capabilities_content(project_name) and _goosehints_content take no manifest parameter), the correct resolution for team-composition-dependent content is verify-first phrasing (""check whether X before assuming""), not an unconditional assertion, and not a signature change to thread manifest access through. Confirmed twice within goose.py specifically (both this session's pre- and post-implementation audits independently flagged variants of the same issue); the shape is architecturally available to any adapter's extra_output_files generator, not yet observed cross-adapter.",agentteams/templates/AUTHORING-GUIDE.md §6 (add named sub-pattern),shipped,2026-07-31,Shipped 2026-07-31: agentteams/templates/AUTHORING-GUIDE.md section 6 gains a third paragraph naming the extra_output_files sub-pattern -- generators with no manifest parameter must use verify-first phrasing rather than an unconditional assertion or a signature change -- and cites _goose_capabilities_content / _goosehints_content in agentteams/frameworks/goose.py as the two observed instances.
2026-07-23,agentteams,agentteams-remediation,"A scratch/probe render using a relative --output path can silently overwrite an already-git-tracked directory outside the intended scratch location when the shell's cwd resolves unexpectedly between tool calls. Materialized this session: a subagent's relative --output .claude/agents briefly overwrote this repo's real .claude/agents/ tree with throwaway probe content (self-caught via git status, fully remediated via the tool's own pre-write backup plus a legitimate re-run of the real self-hosting command; independently re-verified byte-for-byte identical to pre-incident state). The CLI accepts a relative --output with no validation or warning even when it resolves onto an existing, git-tracked, non-empty directory.","agentteams/cli/generate.py (--output path handling -- require absolute, or warn/refuse when a relative path resolves onto an already-git-tracked directory without --overwrite); agentteams/templates/AUTHORING-GUIDE.md §7 (secondary, defense-in-depth: caution to always use an absolute scratchpad path for exploratory/probe renders)",shipped,2026-07-30,agentteams/cli/output_target.py refuses a relative --output resolving onto a foreign tracked tree (fails open on ambiguity); tests/test_output_target_safety.py.
2026-07-23,agentteams,agentteams-remediation,"The CLI's security-intelligence-freshness gate (agentteams/cli/security_gate.py, 24h TTL) blocks an entire generate/update run for ALL output files whenever the cached security snapshot exceeds its TTL with --security-offline and no waiver, even when the files actually being regenerated have zero relationship to security-vulnerability-watch content -- confirmed this session for both --overwrite (fresh generate into examples/*/expected) and --update --merge, forcing a workaround that called ingest/analyze/render/emit directly (mirroring tests/test_integration.py's own _run_pipeline) rather than going through the CLI. FIRST STEP (2026-08-06): scope the gate to security-bearing outputs rather than the whole run. Blast radius stated before starting: the gate is a C-5 control, so narrowing it is a privileged change needing @security review and a red-team probe covering the narrowed path — a gate that blocks less must be proven to still block what it should. NOT STARTED.","agentteams/cli/security_gate.py (gate scope); agentteams/emit.py (write-path integration point) -- scope the freshness gate to only the security-specific output files, or add a lighter per-run bypass",open,,
2026-07-23,agentteams,agentteams-remediation,"agentteams --update --merge silently does not propagate an edit to an unfenced Invariant Core section to an already-deployed team, with no notice printed anywhere (unlike fenced-content changes, which get an explicit per-file MERGE/UNCHANGED report). Root cause: emit.py's _normalize_generated_content only applies the automatic whole-body default fence when a template declares NO other explicit fence elsewhere in the file. Confirmed by direct count: exactly 5 of 17 domain templates (quality-auditor, research-analyst, retrieval-integrator, technical-validator, tool-doc-researcher) also declare a second explicit fence and are therefore affected -- not ""virtually every"" template as first characterized during this session's own audit chain (@template-library-expert's diff review), corrected here after an actual count during the retrospective's own adversarial audit. Broadened 2026-07-24 (tmp/by-week/2026-W30/external-retrieval-quality-gate.plan.md's close-out audit): YAML front matter (agents:, tools:, model:, handoffs:) is an even more absolute instance of this same silent-non-propagation problem -- unconditionally excluded from every fence (default whole-body or explicit) for every template, not just the 5 named above. Confirmed via direct reading of emit.py:157-163. Concrete instance: that plan's content-enricher.template.md front-matter change merged correctly into one self-hosted team's body but left another's agents: line stale, undetected until a close-out audit checked front matter specifically. Any fix for the notice-on-non-propagation gap above should cover front matter too, not just unfenced body content.","agentteams/emit.py (_normalize_generated_content / per-file entry.action reporting); agentteams/fences.py (per-file diff model) -- surface a notice when a changed template's content falls entirely outside any declared fence, or when a template's front matter differs from an already-generated file's front matter, during --update",shipped,2026-07-31,"Shipped 2026-07-31: the three remaining unfenced invariant sections in partially-fenced templates were reviewed and two fenced -- agentteams/templates/universal/conflict-auditor.template.md (invariant_core) and agentteams/templates/universal/navigator.template.md (invariant_core, stopping before the USER-EDITABLE Project Structure) -- plus update_compatibility_source_pack in agentteams/templates/universal/orchestrator.template.md. Measured 669 -> 638 lines outside a fence. The orchestrator's own Invariant Core was deliberately NOT fenced and the reason is recorded in the template: its SECTION MANIFEST designates constitutional_rules USER-EDITABLE and projects do extend the list, so a fence spanning it would delete project-added rules on merge. Verified by tests/test_fence_section_manifest.py and the 331-test fence/template selection."
2026-07-23,agentteams,agentteams-remediation,"agentteams/ingest.py::parse_dependency_manifests/_parse_package_json ingests every package.json dependencies AND devDependencies entry unconditionally as a tools[] entry (category hardcoded 'library'), with no relevance filtering. Most (subject to classify_tool_importance's tier routing) spawn a full references/ref-<tool>-reference.md file. Inflates low-value reference-file volume independent of tmp/by-week/2026-W30/tool-doc-catalog-remediation.plan.md's completion-mechanism fixes -- even with every completion mechanism working perfectly, a devDependency-heavy JS project still generates many low-value files. UPDATE 2026-07-31: re-verified open. ingest.py:594 iterates ('dependencies','devDependencies') unconditionally and tags every entry category='library'.","agentteams/ingest.py (_parse_package_json, parse_dependency_manifests) -- consider deprioritizing/filtering devDependencies relative to dependencies, or gating tools[] inclusion on actual source-code usage (import/require scanning) rather than just manifest presence",shipped,2026-07-31,"Shipped 2026-07-31: agentteams/ingest.py::_parse_package_json categorises devDependencies as 'other' (passive tier) instead of 'library' (reference tier), staying inside the category enum in schemas/project-description.schema.json. typescript/webpack/vite/rollup/esbuild added to _REFERENCE_TOOLS in agentteams/analyze.py so the demotion does not take a TypeScript project's compiler and bundler with it. Covered by tests/test_ingest_dev_dependencies.py (6 tests)."
2026-07-23,agentteams,agentteams-remediation,"build_team._prune_removed_files (invoked via the --prune flag) only ever consumes sdreport.removed_files, a build-log-diff artifact -- never either glob-based orphan-file advisory in agentteams/cli/generate.py (the pre-existing *.agent.md orphan-agent advisory, or the new references/ref-*-reference.md advisory added by tmp/by-week/2026-W30/tool-doc-catalog-remediation.plan.md). The new reference-doc advisory already discloses this inline ('--prune cannot remove them (detection-only today)'); the older, pre-existing agent-file advisory does not carry the equivalent caveat ('Review and delete if obsolete' only) -- the disclosure gap is real but narrower than 'silent,' confined to the older advisory (corrected here after this session's own adversarial retrospective review challenged the original, broader framing).","build_team.py (_prune_removed_files) -- wire both glob-based orphan sets into --prune's deletion-eligible set (same confirmation-gating already in place); OR agentteams/cli/generate.py's older *.agent.md orphan-advisory message -- add the same --prune-cannot-reach-these caveat the newer reference-doc advisory already has, for consistency",shipped,2026-07-31,"Shipped 2026-07-31: the older *.agent.md orphan advisory now carries the same '--prune cannot remove them (detection-only today)' caveat as _report_orphan_reference_docs, wording identical. The alternative touch point -- wiring both glob sets into --prune's deletion-eligible set -- was DECLINED as out of scope for a consistency fix: it widens a destructive flag from an authoritative build-log diff to a heuristic glob, which is a @security decision under Constitutional Rule 1. Advisory carved to build_team._report_orphan_agent_files."
2026-07-23,agentteams,agentteams-remediation,"enrich/_tools.py::build_tool_catalog's fetch_pypi: bool parameter now also gates the npm-registry fetch tier added by tmp/by-week/2026-W30/tool-doc-catalog-remediation.plan.md, not just PyPI -- a stale, misleading name. Currently self-documented via the function's own docstring; single production call site (enrich/_enrich.py:104).","agentteams/enrich/_tools.py (build_tool_catalog signature) -- cosmetic rename (e.g. fetch_network) whenever this file is next touched substantively; low priority, deferred to avoid unnecessary signature churn",shipped,2026-07-31,"Renamed to fetch_registries in agentteams/enrich/_tools.py, with fetch_pypi retained as a documented deprecated alias so the existing call site and tests are unaffected. The docstring now states that it gates BOTH PyPI and npm. tests/test_enrich_tools.py + tests/test_tool_metadata_catalog.py pass unchanged."
2026-07-23,agentteams,agentteams-remediation,"11 of 24 fenced templates in the template library use AGENTTEAMS:BEGIN fence markers without the required SECTION MANIFEST comment block (FENCE-CONVENTIONS.md / AUTHORING-GUIDE.md both require one per fenced template). domain/: quality-auditor, retrieval-integrator, tool-build-system.doc, tool-cli.doc, tool-database.doc, tool-specific.doc, unix-philosophy-mapping-reference (7 files; technical-validator.template.md, research-analyst.template.md, and tool-doc-researcher.template.md are the domain/ templates that correctly have one). universal/: adjacent-repos.reference, agent-updater, ai-bad-habits-watch.reference, conflict-resolution (4 files). Confirmed systemic and pre-existing during tmp/by-week/2026-W30/tool-doc-catalog-remediation.plan.md's post-implementation audit (which found the gap in tool-doc-researcher.template.md specifically) and broadened to the full count during this session's own retrospective adversarial review. Corrected 2026-07-24: research-analyst and tool-doc-researcher dropped from the affected list (count 13→11; denominator unchanged at 24) after tmp/by-week/2026-W30/external-retrieval-quality-gate.plan.md added SECTION MANIFEST blocks to both — confirmed by a direct, self-run count over agentteams/templates/{domain,universal}/*.template.md (24 fenced templates total, 11 missing a manifest), not by re-trusting either post-implementation audit's own restated count (one of which had independently miscounted the denominator as 26).","11 named template files above -- add SECTION MANIFEST comment blocks; consider a regression-guardrail test (e.g. extending tests/test_code_hygiene.py) that fails when a *.template.md contains AGENTTEAMS:BEGIN without a SECTION MANIFEST block, since no such check exists today",shipped,2026-07-30,"10 manifests added and 4 completed, derived from real fence IDs; tests/test_fence_section_manifest.py asserts presence AND agreement with the file's fences."
2026-07-24,agentteams,agentteams-remediation,"agentteams/fences.py::_merge_fenced_content cannot insert a new AGENTTEAMS fence at a specific position relative to existing content -- a section_id absent from the on-disk file is always appended at the absolute end of the merged file (confirmed by direct reading, lines 345-351), regardless of where that section_id appears in the fresh template render. This is the shared root cause of a blocking bug and two should-fix findings in tmp/by-week/2026-W30/external-retrieval-quality-gate.plan.md's post-implementation audit: a template author who adds a new fenced section mid-procedure (e.g. a gate step meant to run before an existing hand-off instruction) gets correct placement on fresh generation but silent misplacement -- potentially a direct contradiction in execution order, as it was here -- on --update --merge into an already-generated team. Mitigated in that plan by making the new fenced content self-contained/position-independent (see FENCE-CONVENTIONS.md's new 'Authoring Consequences' section), not by fixing the merge engine itself. Related but distinct from the adjacent 2026-07-23 entry above (emit.py's _normalize_generated_content / silent non-propagation with no notice) -- that entry is about a change to an EXISTING fenced/unfenced region going undetected; this one is about a BRAND-NEW fence landing in the wrong place. Both point at agentteams/fences.py's merge model and may be worth addressing together.","agentteams/fences.py (_merge_fenced_content) -- support an explicit 'insert after fence <section_id>' or 'insert after heading <text>' directive so template authors can control merge-time placement of brand-new fenced sections, instead of requiring every new fence to be written position-independent",shipped,2026-07-31,"agentteams/fences.py::_insert_section_at_render_position anchors a new section to the nearest preceding, then following, section present on disk; appends only as a reported last resort. tests/test_fence_positional_insert.py (10 cases incl. the order-contradiction fallback)."
2026-07-24,agentteams,agentteams-remediation,"scripts/goose-openrouter-preflight.py::parse_goose_config (and resolve_models) only reads flat top-level GOOSE_PROVIDER:/GOOSE_MODEL: scalars from config.yaml. Goose's config.yaml schema has since migrated to a providers: {<name>: {model, enabled, configured}} / active_provider: block (observed on a live machine between the .bak-20260622 and .bak-20260723T* backups, goose 1.37.0). Against the current schema the preflight tool finds neither key, so it silently validates nothing (reports ""provider is '' nothing to validate"" or raises a setup error) against any config.yaml written by current goose configure. Found in passing while investigating a separate, deeper OpenRouter tool-calling bug (references/plans/goose-openrouter-tool-call-reasoning-leak-2026-07-24.report.md); not fixed there (out of scope for that session, and a real code change against this repo's own deliverable should go through the normal plan/audit path).","scripts/goose-openrouter-preflight.py (parse_goose_config, resolve_models) -- add a second parser for the providers:/active_provider: block schema (or detect schema version and dispatch), covered by tests/test_goose_openrouter_preflight.py",shipped,2026-07-31,"Verified 2026-07-31: scripts/goose-openrouter-preflight.py:103 parse_goose_providers_block already parses the providers:/active_provider: schema this row says it cannot see. Live run against the current config reported ""provider: ollama"" resolved from active_provider -- not the empty ""nothing to validate"" the row predicts. Pinned by tests/test_goose_openrouter_preflight.py."
2026-07-24,agentteams,agentteams-remediation,"agentteams/emit.py's auto-fence-on-update retrofit (agentteams/fences.py's _MACHINE_MANAGED_MERGE_OVERWRITE_PATHS) has no file-type/extension guard -- it will HTML-comment-fence any unfenced existing file regardless of format, corrupting non-Markdown files (already known for XML/SVG per the existing allowlist comments, newly confirmed for Python this session: displaces the #!/usr/bin/env python3 shebang, producing a SyntaxError on the next run). Each new non-Markdown file emitted via extra_output_files (or any other unfenced-file-emission path) requires a maintainer to remember to manually add it to the overwrite-allowlist; this session's own new scripts/goose-run-resilient.py was initially missed this way and only caught by a dedicated @framework-adapters-expert audit reproducing the --update --merge lifecycle against a real generated project, not by any of the plan's originally-scoped tests -- i.e. the session's clean outcome depended on one auditor's discretionary thoroughness, not a documented rule or test.","agentteams/fences.py (the auto-fence retrofit call site, in agentteams/emit.py) -- prefer mirroring _normalize_generated_content's existing closed-world-safe rule (only .md is fenceable) onto the retrofit path, rather than an open-ended denylist of known-bad extensions (.py/.json/.yaml/.svg/...), which can always miss a future extension the next time a non-Markdown file is added via extra_output_files; ALSO add a regression test iterating extra_output_files() for every framework adapter asserting no non-.md path is ever auto-fenced -- this closes the guard gap AND removes the dependency on an auditor choosing, at their own discretion, to reproduce the --update --merge lifecycle.",shipped,2026-07-31,"Verified 2026-07-31: agentteams/fences.py:245 _is_machine_managed_merge_overwrite_path is the file-type guard this row asks for. Checked directly -- .py/.json/.svg full-replace (True), .md fences (False) -- so no non-Markdown file is auto-fenced, and no data file in the repo carries a fence marker. Pinned by tests/test_frameworks.py."
2026-07-24,agentteams,agentteams-remediation,"The fences-extension-guard fix landed this session (agentteams/fences.py's _is_machine_managed_merge_overwrite_path now takes fresh_content and classifies non-.md paths with no fence marker in fresh output as safe to full-replace) resolves the ROOT CAUSE of an incidentally-discovered corrupted file, .claude/agents/references/runtime-handoffs.json (invalid JSON, wrapped in a spec-noncompliant '<!-- AGENTTEAMS:BEGIN content v=1 -->' fence it should never have received -- left over from before this session's fix, via the auto-fence-on-update retrofit misclassifying it). The fix mechanism was verified twice: once via a scratch-directory reproduction, and independently by @technical-validator tracing the live code path (render_pipeline.py's fresh json.dumps output -> fences.py's classification -> emit.py:472's merge-path full-overwrite) and confirming no allowlist/gate blocks this specific file. BUT the fix has only been verified, not yet APPLIED to this real repo: git status confirms zero working-tree change to this path, so the live file is still invalid JSON right now. Deliberately not applied this session (agentteams --update --merge re-renders and merges the WHOLE self-hosted .claude/agents/ team, a broader/less-previewed action than fixing one file, and out of scope for this session's actual goose/openrouter-focused work) -- per @conflict-resolution's explicit call on this close-out finding.",".claude/agents/references/runtime-handoffs.json -- run this repo's normal self-hosting regeneration (agentteams ... --update --merge against this repo's own team), reviewed in isolation (git diff on just this path) before any commit, to confirm it becomes valid JSON as a side effect of the already-merged fix; no code change needed, this is an apply-and-verify action item only",shipped,2026-07-31,"Shipped 2026-07-31: no data file in the repo carries a fence marker (grep over *.json/*.yaml/*.yml), so the runtime-handoffs.json class of residue is gone. The remaining fence-first files were .claude/agents/team-builder.md, repaired here, and SETUP-REQUIRED.md, which is exempt by design -- emit._is_agent_doc and bridge_sources both exclude it from agent-file enumeration, so nothing scans it."
2026-07-24,agentteams,agentteams-remediation,"Adversarial's revision confirmed independently: the CSV-safety instruction (require csv.writer + re-parse via plan_steps.read_steps() for hand-edited plan-step CSVs) already exists near-verbatim in .github/agents/orchestrator.agent.md:172 and .claude/agents/orchestrator.md:172 (added 2026-07-22, commit 9d8e73c) -- two days before this session's own repeated CSV-corruption incidents from unescaped commas in free-text fields (workSummaries/daily/2026-07-24.md, describing an ad hoc csv.writer + round-trip workaround applied manually this evening because no automated gate existed). agentteams/plan_steps.py::read_steps() (confirmed by direct read, lines 14-31) already implements the detection half: row.pop(None, None) + warnings.warn(UserWarning) on any overflow column. Prose alone -- present in two locations -- did not prevent recurrence, and no test provides a regression guard: test_handoff_payloads.py::test_steps_reader_warns_on_column_overflow and test_session_scan.py::test_scan_pending_blocked_steps_warns_but_continues_on_overflow_row both confirm the warning mechanism fires, but only against synthetic tmp_path fixtures -- neither they nor test_code_hygiene.py (zero references to plan_steps/steps.csv) sweep the real tmp/by-week/**/*.steps.csv files that actually accumulate in this repo.","tests/test_code_hygiene.py (or a new tests/test_plan_steps.py) -- add a test that globs tmp/by-week/**/*.steps.csv and asserts agentteams.plan_steps.read_steps() produces zero UserWarnings across all of them (warnings.catch_warnings(record=True), assert caught == []), so a corrupted row fails CI instead of depending on an agent remembering the prose instruction mid-edit.",shipped,2026-07-31,"Shipped 2026-07-31: tests/test_plan_steps_corpus.py globs tmp/by-week/**/*.steps.csv and asserts read_steps() emits no UserWarning. Two deviations from the proposed shape, both deliberate: it SKIPS rather than passes on an empty corpus (tmp/ is gitignored, so a CI glob matches nothing and green would read as false coverage), and it ratchets on the 13 files already overflowing as of 2026-07-31 rather than gating at zero, since those are records of finished work."
