audit_id,status,template_file,template_tier,template_agent_name,book_chapter,book_agent_name,category,severity,summary,detail,disposition,implementing_surface,verified_on
TA-011,GENERALIZED,domain/primary-producer.template.md,domain,Primary Producer,Ch 15,Book-Content Expert,name-generalization,low,Book-specific agent generalized to domain-agnostic template,"'Book-content expert' → 'primary producer'. 'Chapter Briefs' → 'Component Briefs'. HTML-specific composition → format-agnostic {PRIMARY_OUTPUT_DIR}. Core workflow (receive brief, draft, submit for review) preserved.",unreviewed,,
TA-012,GENERALIZED,domain/quality-auditor.template.md,domain,Quality Auditor,Ch 15,Expert-Critic,name-generalization + formalization,low,Expert-critic generalized; adds formal defect codes,"'Expert-critic' → 'quality auditor'. Adds 4 formal defect codes (Q-STR, Q-LGC, Q-LLM, Q-PRO). Core function (structural/logical/prose-quality audit) preserved.",unreviewed,,
TA-013,GENERALIZED,domain/cohesion-repairer.template.md,domain,Cohesion Repairer,Ch 15,Argument-Weaver,name-generalization + formalization,low,Argument-weaver generalized; adds formal failure types,"'Argument-weaver' → 'cohesion repairer'. Adds 5 formal failure types (disjointedness, broken given-new chain, missing spine, implicit transitions, topic drift). Section-level scope rules preserved.",unreviewed,,
TA-014,GENERALIZED,domain/style-guardian.template.md,domain,Style Guardian,Ch 15,Voice-Style Agent,name-generalization,low,Voice-style agent generalized to style guardian,'Voice-style agent' → 'style guardian'. Three-priority E/A/V audit structure preserved. Exclusive constitutional authority over voice rulings preserved.,unreviewed,,
TA-015,GENERALIZED,domain/reference-manager.template.md,domain,Reference Manager,Ch 15,Bibliography Manager,name-generalization + expansion,low,Bibliography manager generalized; adds CRUD and tiered verification,'Bibliography manager' → 'reference manager'. BibTeX/BibLaTeX → generic reference database. Adds explicit CRUD operations and 4-tier verification scheme (DOI/ISBN/URL/personal communication). Anti-fabrication rule preserved.,unreviewed,,
TA-016,GENERALIZED,domain/format-converter.template.md,domain,Format Converter,Ch 15,HTML-Document-Builder,name-generalization,low,HTML-document-builder generalized to format converter,"'HTML-document-builder' → 'format converter'. HTML→LaTeX pipeline → configurable {CONVERSION_PIPELINE}. Validation approach (structure check, cross-reference survival, content count verification) preserved.",unreviewed,,
TA-017,GENERALIZED,domain/output-compiler.template.md,domain,Output Compiler,Ch 15,LaTeX Specialist,name-generalization + expansion,low,LaTeX specialist generalized to output compiler; adds BUILD-MANIFEST,"'LaTeX specialist' → 'output compiler'. LaTeX assembly → generic deliverable assembly. Adds BUILD-MANIFEST.md with component listing, sizes, hashes. Core responsibility (assemble converted components in order, resolve cross-references) preserved.",unreviewed,,
TA-018,GENERALIZED,domain/visual-designer.template.md,domain,Visual Designer,Ch 15,Graphviz Expert,name-generalization,low,Graphviz expert generalized to visual designer,"'Graphviz expert' → 'visual designer'. Graphviz DOT language → configurable {DIAGRAM_TOOLS}. Consistent naming, revision history, source-file preservation rules preserved.",unreviewed,,
TA-019,GENERALIZED,workstream-expert.template.md,other,Workstream Expert,Ch 5/15,Chapter Expert,name-generalization,low,Chapter expert generalized to workstream expert,'Chapter expert' → 'workstream expert'. 'Chapter Briefs' → 'Component Briefs'. Template-based instantiation with invariant structure + task-specific knowledge preserved. 3-revision-cycle escalation limit preserved.,unreviewed,,
TA-020,NEW,domain/technical-validator.template.md,domain,Technical Validator,—,—,new-agent,high,New domain agent split from book's code-hygiene agent,"Read-only domain agent verifying code examples, file paths, API signatures, command invocations, configuration values, and agent file excerpts match source on disk. In the book these responsibilities belong to Code-Hygiene Agent (Ch 8, rules CH-01 through CH-08). The template system splits technical accuracy auditing into this separate domain agent, while the universal code-hygiene template handles file hygiene and anti-sprawl.",unreviewed,,
TA-021,NEW,domain/tool-build-system.doc.template.md,domain,— (operational tool doc),—,—,new-reference,medium,New operational tool doc for build systems,"Not an agent. Operational reference for build configuration, dependency resolution, compilation, artifact management — emitted as a Copilot references/ doc or a Claude .claude/skills/ skill for build-system-category tools.",unreviewed,,
TA-022,NEW,domain/tool-cli.doc.template.md,domain,— (operational tool doc),—,—,new-reference,medium,New operational tool doc for CLI tools,"Not an agent. Operational reference for CLI tool configuration, execution, output parsing, CI integration — emitted as a Copilot references/ doc or a Claude .claude/skills/ skill for cli-category tools.",unreviewed,,
TA-023,NEW,domain/tool-database.doc.template.md,domain,— (operational tool doc),—,—,new-reference,medium,New operational tool doc for databases,"Not an agent. Operational reference for schema migrations, parameterized queries, backups, credential rotation — emitted as a Copilot references/ doc or a Claude .claude/skills/ skill for database-category tools.",unreviewed,,
TA-024,NEW,domain/tool-doc-researcher.template.md,domain,Tool Documentation Researcher,—,—,new-agent,medium,New research agent for tool documentation discovery,"Locates official documentation, API surfaces, usage patterns for tools. Partially maps to Docs-Researcher pipeline stage (Ch 18, Stage 1) but is scoped to tool metadata enrichment rather than daily external monitoring.",unreviewed,,
TA-025,NEW,domain/tool-specific.doc.template.md,domain,— (operational tool doc),—,—,new-reference,medium,New generic operational tool doc,"Not an agent. Fallback operational reference/skill for tools that don't fit build-system, CLI, or database categories. Covers configuration and invocation of general-purpose tools.",unreviewed,,
TA-026,NEW,domain/code-hygiene-rules-reference.template.md,domain,— (reference file),—,—,new-reference,low,New reference file for code-hygiene enforcement rules,Not an agent. Authoritative enforcement catalog for CH-01 through CH-20+ rules. Extension point for domain-specific hygiene rules (CH-21+).,unreviewed,,
TA-027,NEW,domain/tool-reference.template.md,domain,— (reference file),—,—,new-reference,low,New lightweight reference file per tool,"Not an agent. Quick-reference for tool version, config files, docs URL, API surface, patterns. Auto-generated for reference-tier tools.",unreviewed,,
TA-028,NEW,builder/team-builder-claude.template.md,builder,Team Builder (Claude),—,—,new-meta-agent,medium,New meta-agent for team construction via Claude Projects,Conducts 7-section intake interview and invokes build_team.py. No book chapter counterpart. Part of the template module's build pipeline.,unreviewed,,
TA-029,NEW,builder/team-builder-copilot-cli.template.md,builder,Team Builder (Copilot CLI),—,—,new-meta-agent,medium,New meta-agent for team construction via Copilot CLI,Conducts 10-step intake via CLI prompts and invokes build_team.py. No book chapter counterpart.,unreviewed,,
TA-030,NEW,builder/team-builder-copilot-vscode.template.md,builder,Team Builder (VS Code),—,—,new-meta-agent,medium,New meta-agent for team construction via VS Code Copilot,Conducts 8-section intake dialogue and invokes build pipeline. No book chapter counterpart.,unreviewed,,
TA-031,NEW,copilot-instructions.template.md,other,— (config file),—,—,new-config,low,New project-level configuration template,"Not an agent. Defines conventions, authority hierarchy, agent team structure, constitutional rules, style rules for all Copilot agents in a project. Corresponds to copilot-instructions.md pattern described across multiple chapters.",unreviewed,,
TA-032,MISSING,—,—,—,Ch 17,Agent Investigator,missing-template,high,No template for cross-repo bottom-up audit agent,"Ch 17 describes the agent investigator: bottom-up audits across repositories, detects emergent patterns, flags documentation drift. 3 finding classes (emergent common features, structural placement inconsistencies, scope creep). Operates as Stage 10 of daily pipeline. No corresponding template. Reaffirmed 2026-07-29: unlike TA-033/034/035/042, this gap is real — session_scan.py and stale_detector.py do bottom-up discovery within a single repository, but no component produces the cross-repository classified reports Ch 18 describes. The book still cites TA-032 for this reason.",absent,,2026-07-29
TA-033,MISSING,—,—,—,Ch 16,Workspace-Level Orchestrator,missing-template,low,"Workspace-level coordination is implemented operationally, not as a template","Ch 17 §4 previously framed this as a high-priority missing template. Corrected 2026-07-29: agentteams/fleet.py discharges the function — it walks a workspace tree, snapshots each git workspace, applies the merge, analyses the diff and reports. No agent template exists and none is warranted for the mechanical part; any future template would cover only the judgment layer (whether a given propagation should proceed). Recorded because the absence is a true structural fact, re-severitied because it is a settled design outcome rather than an outstanding gap.",discharged-operationally,agentteams/fleet.py,2026-07-29
TA-034,MISSING,—,—,—,Ch 16,Collector-Discovery Agent,missing-template,low,"Repository topology discovery is implemented operationally, not as a template","Corrected 2026-07-29: fleet.discover_workspaces() walks a parent tree, identifies every directory carrying .github/agents/ or .claude/, resolves its descriptor and classifies its framework kind. That is the collector-discovery function. No template exists; none is needed for a procedure this fully specified.",discharged-operationally,agentteams/fleet.py::discover_workspaces,2026-07-29
TA-035,MISSING,—,—,—,Ch 16,Agent-Abstraction-Reviewer,missing-template,low,"Template compliance checking is implemented operationally, not as a template","Corrected 2026-07-29: agentteams/drift.py compares deployed agent files against their canonical templates and classifies the differences into template, structural and team-membership drift, which is the agent-abstraction-reviewer's stated function verbatim. Exposed as --check. No template exists; the decision procedure is specifiable, so the function belongs where it landed.",discharged-operationally,agentteams/drift.py,2026-07-29
TA-036,MISSING,—,—,—,Ch 18,Best-Practices-Analyst (Stage 2),missing-template,medium,No template for pipeline best-practices analyst,Ch 18 Stage 2: evaluates documentation changes against 5 quality dimensions. No corresponding template. Verified absent 2026-07-29: unlike TA-033/034/035/042 this pipeline synthesis role has no template and no module discharging it. The gap is real; severity unchanged.,absent,,2026-07-29
TA-037,MISSING,—,—,—,Ch 18,Implementation-Advisor (Stage 3),missing-template,medium,No template for pipeline implementation advisor,Ch 18 Stage 3: generates adoption guidance for documentation changes. No corresponding template. Verified absent 2026-07-29: unlike TA-033/034/035/042 this pipeline synthesis role has no template and no module discharging it. The gap is real; severity unchanged.,absent,,2026-07-29
TA-038,MISSING,—,—,—,Ch 18,Report-Compiler (Stage 4),missing-template,medium,No template for pipeline report compiler,Ch 18 Stage 4: synthesizes three parallel research streams into daily summary. No corresponding template. Verified absent 2026-07-29: unlike TA-033/034/035/042 this pipeline synthesis role has no template and no module discharging it. The gap is real; severity unchanged.,absent,,2026-07-29
TA-039,MISSING,—,—,—,Ch 18,Documentation Updater (Stage 5),missing-template,medium,No template for pipeline documentation updater,"Corrected 2026-07-29: the row's premise is that a stage-specific documentation-updater template is required. agent-updater.template.md covers the function; Ch 19 §2 states Stage 5 aligns with updater behaviour. Superseded by a general template, not discharged by code — unlike TA-033/034/035/042.",superseded,agentteams/templates/universal/agent-updater.template.md,2026-07-29
TA-040,MISSING,—,—,—,Ch 18,Contradiction-Detector (Stage 6),missing-template,low,No template for pipeline contradiction detector,Ch 18 Stage 6: scans agent docs against consistency rules. Overlaps with conflict-auditor but is pipeline-stage scoped. May not need separate template.,unreviewed,,
TA-041,MISSING,—,—,—,Ch 18,Refactoring-Recommender (Stage 7),missing-template,low,No template for pipeline refactoring recommender,Ch 18 Stage 7: reviews flagged files for structural defects and generates prioritized remediation list. Overlaps with agent-refactor but is pipeline-stage scoped. May not need separate template.,unreviewed,,
TA-042,MISSING,—,—,—,Ch 18,Cross-Repo-Propagator (Stage 8),missing-template,low,"Pipeline stage roles are available as a recurring cadence, not as per-stage templates","Corrected 2026-07-29: agentteams/schedule_emit.py emits four recurring routines (daily work-summary capture, weekly drift scan, weekly post-production audit, monthly advisory roll-up) plus auto-installed pre-commit hooks. The cadence and the roles exist. What remains genuinely unpackaged is the specific nine-stage documentation-enrichment topology of Ch 19, which is a property of the workspace installation rather than a general form.",discharged-operationally,agentteams/schedule_emit.py,2026-07-29
TA-043,MISSING,—,—,—,Ch 18,Health Monitor (Stage 9),missing-template,medium,No template for pipeline health monitor,"Ch 18 Stage 9: evaluates pipeline execution quality, classifies stage results, assesses documentation health. No corresponding template.",unreviewed,,
TA-044,NEW,domain/post-production-auditor.template.md,domain,Post-Production Auditor,—,—,new-agent,low,New domain template for outcome verification after implementation claims,"Introduces risk-tiered sampling and source-of-truth verification for claimed completed outcomes. Includes verdict taxonomy (PASS/PASS_WITH_NOTES/FAIL/INCONCLUSIVE), closure-gate artifacts, and security escalation requirements for destructive remediation.",unreviewed,,
