audit_id,status,template_file,template_tier,template_agent_name,book_chapter,book_agent_name,category,severity,summary,detail
TA-025,NEW,domain/tool-specific.template.md,domain,Tool Specialist (generic),—,—,new-agent,medium,"New generic tool-specific agent template","Manages configuration and invocation of general-purpose tools. Fallback template for tools that don't fit build-system, CLI, or database archetypes. No book chapter counterpart."
TA-026,NEW,domain/code-hygiene-rules-reference.template.md,domain,— (reference file),—,—,new-reference,low,"New reference file for code-hygiene enforcement rules","Not an agent. Authoritative enforcement catalog for CH-01 through CH-20+ rules. Extension point for domain-specific hygiene rules (CH-21+)."
TA-027,NEW,domain/tool-reference.template.md,domain,— (reference file),—,—,new-reference,low,"New lightweight reference file per tool","Not an agent. Quick-reference for tool version, config files, docs URL, API surface, patterns. Auto-generated for reference-tier tools."
TA-028,NEW,builder/team-builder-claude.template.md,builder,Team Builder (Claude),—,—,new-meta-agent,medium,"New meta-agent for team construction via Claude Projects","Conducts 7-section intake interview and invokes build_team.py. No book chapter counterpart. Part of the template module's build pipeline."
TA-029,NEW,builder/team-builder-copilot-cli.template.md,builder,Team Builder (Copilot CLI),—,—,new-meta-agent,medium,"New meta-agent for team construction via Copilot CLI","Conducts 10-step intake via CLI prompts and invokes build_team.py. No book chapter counterpart."
TA-030,NEW,builder/team-builder-copilot-vscode.template.md,builder,Team Builder (VS Code),—,—,new-meta-agent,medium,"New meta-agent for team construction via VS Code Copilot","Conducts 8-section intake dialogue and invokes build pipeline. No book chapter counterpart."
TA-031,NEW,copilot-instructions.template.md,other,— (config file),—,—,new-config,low,"New project-level configuration template","Not an agent. Defines conventions, authority hierarchy, agent team structure, constitutional rules, style rules for all Copilot agents in a project. Corresponds to copilot-instructions.md pattern described across multiple chapters."
TA-032,MISSING,—,—,—,Ch 17,Agent Investigator,missing-template,high,"No template for cross-repo bottom-up audit agent","Ch 17 describes the agent investigator: bottom-up audits across repositories, detects emergent patterns, flags documentation drift. 3 finding classes (emergent common features, structural placement inconsistencies, scope creep). Operates as Stage 10 of daily pipeline. No corresponding template."
TA-033,MISSING,—,—,—,Ch 16,Workspace-Level Orchestrator,missing-template,high,"No template for workspace-level coordination agent","Ch 16 describes a workspace-level orchestrator coordinating abstract layer propagation across multiple repositories. Manages bidirectional propagation (top-down Stage 8, bottom-up Stages 10-11). No corresponding template."
TA-034,MISSING,—,—,—,Ch 16,Collector-Discovery Agent,missing-template,medium,"No template for repository topology discovery agent","Ch 16 describes the collector-discovery agent: identifies which repositories have agent teams, discovers topology. Part of three-meta-agent propagation architecture. No corresponding template."
TA-035,MISSING,—,—,—,Ch 16,Agent-Abstraction-Reviewer,missing-template,high,"No template for template compliance checking agent","Ch 16 describes the agent-abstraction-reviewer: compares repository-level agent files against abstract templates, classifies differences (intentional extension, accidental drift, novel pattern). Core to the abstract layer architecture. No corresponding template."
TA-036,MISSING,—,—,—,Ch 18,Best-Practices-Analyst (Stage 2),missing-template,medium,"No template for pipeline best-practices analyst","Ch 18 Stage 2: evaluates documentation changes against 5 quality dimensions. No corresponding template."
TA-037,MISSING,—,—,—,Ch 18,Implementation-Advisor (Stage 3),missing-template,medium,"No template for pipeline implementation advisor","Ch 18 Stage 3: generates adoption guidance for documentation changes. No corresponding template."
TA-038,MISSING,—,—,—,Ch 18,Report-Compiler (Stage 4),missing-template,medium,"No template for pipeline report compiler","Ch 18 Stage 4: synthesizes three parallel research streams into daily summary. No corresponding template."
TA-039,MISSING,—,—,—,Ch 18,Documentation Updater (Stage 5),missing-template,medium,"No template for pipeline documentation updater","Ch 18 Stage 5: integrates newly identified best practices into agent profile files. Overlaps with agent-updater but is pipeline-stage scoped. No corresponding template."
TA-040,MISSING,—,—,—,Ch 18,Contradiction-Detector (Stage 6),missing-template,low,"No template for pipeline contradiction detector","Ch 18 Stage 6: scans agent docs against consistency rules. Overlaps with conflict-auditor but is pipeline-stage scoped. May not need separate template."
TA-041,MISSING,—,—,—,Ch 18,Refactoring-Recommender (Stage 7),missing-template,low,"No template for pipeline refactoring recommender","Ch 18 Stage 7: reviews flagged files for structural defects and generates prioritized remediation list. Overlaps with agent-refactor but is pipeline-stage scoped. May not need separate template."
TA-042,MISSING,—,—,—,Ch 18,Cross-Repo-Propagator (Stage 8),missing-template,medium,"No template for pipeline cross-repo propagator","Ch 18 Stage 8: applies architectural improvements to target repositories and runs post-propagation audits. No corresponding template."
TA-043,MISSING,—,—,—,Ch 18,Health Monitor (Stage 9),missing-template,medium,"No template for pipeline health monitor","Ch 18 Stage 9: evaluates pipeline execution quality, classifies stage results, assesses documentation health. No corresponding template."
