phase_id,step_id,phase_name,step_title,description,deliverable,dependencies,priority,effort,notes,status
2,2.5,Template Enrichment — Build System,Add Key API Surface section to tool-build-system.template.md,"Insert '## Key API Surface' section after Official Documentation. Content: '{MANUAL:TOOL_API_SURFACE}'. Instructional comment: 'Document the primary CLI commands, configuration directives, plugin hooks, and build lifecycle stages for {TOOL_NAME}.'",templates/domain/tool-build-system.template.md (updated),2.4,P0,S,Build-system-specific framing for the MANUAL placeholder.,not-started
2,2.6,Template Enrichment — Build System,Add Common Patterns & Pitfalls section to tool-build-system.template.md,"Insert '## Common Patterns & Pitfalls' section after Key API Surface. Content: '{MANUAL:TOOL_COMMON_PATTERNS}'. Instructional comment: 'Document common build configurations, dependency management patterns, and known issues for {TOOL_NAME} {TOOL_VERSION}.'",templates/domain/tool-build-system.template.md (updated),2.5,P0,S,Mirrors pattern established in 2.3.,not-started
2,2.7,Template Enrichment — CLI/Infrastructure,Add Official Documentation section to tool-cli.template.md,"Insert '## Official Documentation' section after the Tool/Configuration files block. Content: 'Consult the official {TOOL_NAME} documentation at: {TOOL_DOCS_URL}'. Include instruction: 'Verify CLI flags, configuration options, and API behavior against this documentation.'",templates/domain/tool-cli.template.md (updated),1.5,P0,S,Same pattern as 2.1/2.4 for the CLI template.,not-started
2,2.8,Template Enrichment — CLI/Infrastructure,Add Key API Surface section to tool-cli.template.md,"Insert '## Key API Surface' section after Official Documentation. Content: '{MANUAL:TOOL_API_SURFACE}'. Instructional comment: 'Document the primary CLI commands, configuration file format, rule/plugin system, and output formats for {TOOL_NAME}.'",templates/domain/tool-cli.template.md (updated),2.7,P0,S,CLI-specific framing.,not-started
2,2.9,Template Enrichment — CLI/Infrastructure,Add Common Patterns & Pitfalls section to tool-cli.template.md,"Insert '## Common Patterns & Pitfalls' section after Key API Surface. Content: '{MANUAL:TOOL_COMMON_PATTERNS}'. Instructional comment: 'Document common configurations, integration patterns, and known issues for {TOOL_NAME} {TOOL_VERSION}.'",templates/domain/tool-cli.template.md (updated),2.8,P0,S,Mirrors pattern from 2.3/2.6.,not-started
2,2.10,Template Enrichment — Database,Add Official Documentation section to tool-database.template.md,"Insert '## Official Documentation' section after the Database/Configuration files block. Content: 'Consult the official {TOOL_NAME} documentation at: {TOOL_DOCS_URL}'. Include instruction: 'Verify SQL dialect features, configuration parameters, and data types against this documentation.'",templates/domain/tool-database.template.md (updated),1.5,P0,S,Same pattern as 2.1/2.4/2.7 for the database template.,not-started
2,2.11,Template Enrichment — Database,Add Key API Surface section to tool-database.template.md,"Insert '## Key API Surface' section after Official Documentation. Content: '{MANUAL:TOOL_API_SURFACE}'. Instructional comment: 'Document the primary SQL dialect features, system tables, administrative commands, and driver-specific APIs for {TOOL_NAME}.'",templates/domain/tool-database.template.md (updated),2.10,P0,S,Database-specific framing.,not-started
2,2.12,Template Enrichment — Database,Add Common Patterns & Pitfalls section to tool-database.template.md,"Insert '## Common Patterns & Pitfalls' section after Key API Surface. Content: '{MANUAL:TOOL_COMMON_PATTERNS}'. Instructional comment: 'Document common schema patterns, query optimization practices, and known issues for {TOOL_NAME} {TOOL_VERSION}.'",templates/domain/tool-database.template.md (updated),2.11,P0,S,Mirrors pattern from 2.3/2.6/2.9.,not-started
2,2.13,Template Enrichment — Reference,Remove agent YAML front matter from tool-reference.template.md,"Replace the agent-style YAML front matter block (---/name/description/user-invokable/tools/agents/model/handoffs/---) in templates/domain/tool-reference.template.md with no YAML. Reference files are documents, not agents. They should not declare name:, tools:, model:, or handoffs:. Keep only the Markdown content body.",templates/domain/tool-reference.template.md (YAML removed),None,P0,S,"Currently tool-reference.template.md has no YAML front matter — it's already a plain Markdown document. Verify this is still the case; if so, mark as already-done. The concern was about generated output, not the template itself.",not-started
2,2.14,Template Enrichment — Reference,Add Official Documentation section to tool-reference.template.md,"Insert a '## Official Documentation' section after the Configuration section in templates/domain/tool-reference.template.md. Content: '{TOOL_DOCS_URL}'. This gives every reference file a clickable link to official docs.",templates/domain/tool-reference.template.md (updated),1.6,P0,S,Reference files currently have zero external links. This is the single most impactful change for reference quality.,not-started
2,2.15,Template Enrichment — Reference,Add Key API Surface section to tool-reference.template.md,"Insert '## Key API Surface' section after Official Documentation. Content: '{MANUAL:TOOL_API_SURFACE}'. Instructional comment: 'Document the primary classes, functions, or APIs that project code depends on from {TOOL_NAME}.'",templates/domain/tool-reference.template.md (updated),2.14,P0,S,Replaces the vague {MANUAL:TOOL_REFERENCE_NOTES} with structured domain sections.,not-started
2,2.16,Template Enrichment — Reference,Add Common Patterns & Pitfalls section to tool-reference.template.md,"Insert '## Common Patterns & Pitfalls' section after Key API Surface. Content: '{MANUAL:TOOL_COMMON_PATTERNS}'. Instructional comment: 'Document common usage patterns, best practices, and known issues for {TOOL_NAME} {TOOL_VERSION}.'",templates/domain/tool-reference.template.md (updated),2.15,P0,S,Completes the enrichment trio (docs URL + API surface + patterns) for reference files.,not-started
2,2.17,Template Enrichment — Reference,Remove {MANUAL:TOOL_REFERENCE_NOTES} placeholder,"Replace or remove the bare '{MANUAL:TOOL_REFERENCE_NOTES}' section in tool-reference.template.md. It is superseded by the three new structured sections (Official Documentation, Key API Surface, Common Patterns & Pitfalls). If the section heading is '## Notes', remove the heading and placeholder entirely.",templates/domain/tool-reference.template.md (updated),2.16,P0,XS,"The old placeholder was too vague ('Notes') to produce useful content. The three new sections give clear guidance on what to fill in.",not-started
3,3.1,Category Fix — CLI Template Semantics,Audit tool-cli.template.md for inappropriate infrastructure language,"Review templates/domain/tool-cli.template.md. The current template is titled 'Infrastructure Specialist' and contains sections on Provisioning, Deployment, Monitoring & Health — these are inappropriate for CLI tools like ESLint, Prettier, or task runners. Document the specific sections that need revision.",Audit notes (internal),None,P1,XS,"ESLint (category: 'cli') currently gets this template, producing an agent that talks about 'provisioning' and 'service health' for a linter.",not-started
3,3.2,Category Fix — CLI Template Semantics,Rename and rewrite tool-cli.template.md as a CLI Tool template,"Rewrite templates/domain/tool-cli.template.md to be appropriate for command-line tools (linters, formatters, task runners, generators). Change title from 'Infrastructure Specialist' to 'CLI Tool Specialist'. Replace sections: Provisioning → Command-Line Usage; Deployment → Integration (pre-commit hooks, CI pipelines, editor plugins); Monitoring & Health → Output Interpretation (how to read and act on tool output). Keep Config Management and Escalation sections with minor wording adjustments.",templates/domain/tool-cli.template.md (rewritten),3.1,P1,M,"This is the most impactful category fix. After rewrite, ESLint, Prettier, and similar CLI tools will get semantically correct agent instructions.",not-started
3,3.3,Category Fix — CLI Template Semantics,Consider splitting infrastructure into a separate template,"Evaluate whether a new 'tool-infrastructure.template.md' is needed for actual infrastructure tools (Docker, Terraform, Ansible). Currently these are in _SPECIALIST_TOOLS and get the tool-specific fallback template, not tool-cli. If infrastructure tools are already handled by tool-specific.template.md or by name-based specialist lookup, no new template is needed. Document decision.",Decision document (internal — no file created unless template needed),3.2,P2,S,"Check: Docker/Terraform/Ansible are in _SPECIALIST_TOOLS (name-based), not _SPECIALIST_CATEGORIES. They use the tool-specific fallback. If that's adequate, skip creating a new template.",not-started
3,3.4,Category Fix — CLI Template Semantics,Verify category-to-template mapping covers all cases,"Review the category→template dispatch in analyze.py generate_manifest() (line ~604). Verify: 'build-system' → tool-build-system.template.md ✓; 'database' → tool-database.template.md ✓; 'cli' → tool-cli.template.md ✓ (now rewritten); 'other'/'language'/'framework'/'library' → fallback to tool-specific.template.md. Confirm no orphaned categories.",Verification notes (internal),3.2,P1,XS,Quick code read to confirm the mapping logic is still correct after the category rewrite.,not-started
4,4.1,MusicMaker Brief Enrichment,Add docs_url to all 10 tools in MusicMaker brief.json,"Edit the MusicMaker brief.json (located at the project path for MusicMaker, likely examples/software-project/brief.json or the external path). Add 'docs_url' field to each of the 10 tool entries. URLs: Node.js 20 → https://nodejs.org/docs/latest-v20.x/api/index.html; VexFlow 4.2.2 → https://www.vexflow.com/docs/; Tone.js 14 → https://tonejs.github.io/docs/; Vite 5 → https://vitejs.dev/guide/; ESLint 9 → https://eslint.org/docs/latest/; Web MIDI API → https://developer.mozilla.org/en-US/docs/Web/API/Web_MIDI_API; Web Audio API → https://developer.mozilla.org/en-US/docs/Web/API/Web_Audio_API; AJV 8 → https://ajv.js.org/guide/getting-started.html; Jest 29 → https://jestjs.io/docs/getting-started; Prettier 3 → https://prettier.io/docs/en/index.html.",MusicMaker brief.json (updated with docs_url for all 10 tools),1.1,P1,S,"All URLs must be real, verifiable documentation links. Do not fabricate URLs.",not-started
4,4.2,MusicMaker Brief Enrichment,Regenerate MusicMaker agent team,"Run: python build_team.py --description <musicmaker-brief> --project <musicmaker-path> --framework copilot-vscode --update --yes. This regenerates all agent files with the new templates (including Official Documentation, Key API Surface, Common Patterns sections) and populates TOOL_DOCS_URL from the brief.",MusicMaker .github/agents/ (regenerated),4.1 + phases 1-3,P1,S,Verify the regenerated files contain the new sections with populated docs URLs.,not-started
4,4.3,MusicMaker Brief Enrichment,Verify TOOL_DOCS_URL populated in specialist agents,"Read each of the 5 regenerated tool-specialist agents (tool-nodejs, tool-vexflow, tool-tonejs, tool-vite, tool-eslint) and confirm the Official Documentation section contains the correct URL from the brief, not {MANUAL:TOOL_DOCS_URL}.",Verification (pass/fail per agent),4.2,P1,XS,Quick read of 5 files to confirm the end-to-end pipeline works.,not-started
4,4.4,MusicMaker Brief Enrichment,Verify TOOL_DOCS_URL populated in reference files,"Read each of the 4 regenerated reference files (ref-web-midi-api, ref-web-audio-api, ref-ajv, ref-jest) and confirm the Official Documentation section contains the correct URL.",Verification (pass/fail per reference),4.2,P1,XS,Quick read of 4 files.,not-started
4,4.5,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in tool-nodejs.agent.md,"Populate the Key API Surface section in the regenerated tool-nodejs.agent.md with Node.js 20 specifics: node: protocol imports (node:fs, node:path, node:test, node:crypto), ES module system (import/export, package.json type:module), key APIs (fs/promises, streams, worker_threads, child_process), EventEmitter pattern, Buffer handling.",tool-nodejs.agent.md (MANUAL placeholder filled),4.3,P1,M,"Content must be accurate for Node.js 20 LTS. Do not include deprecated APIs (e.g., url.parse — use URL constructor).",not-started
4,4.6,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in tool-nodejs.agent.md,"Populate Common Patterns & Pitfalls for Node.js 20: async/await over callbacks, proper error handling in streams, avoiding sync filesystem methods in hot paths, ESM vs CJS interop gotchas, proper use of AbortController for cancellation, memory leak patterns (unclosed listeners, unbounded arrays).",tool-nodejs.agent.md (MANUAL placeholder filled),4.5,P1,M,Pair with the API surface section for a complete knowledge base.,not-started
4,4.7,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in tool-vexflow.agent.md,"Populate Key API Surface for VexFlow 4.2.2: core classes (Factory, EasyScore, Renderer, Stave, StaveNote, Voice, Formatter, TickContext, Beam, Tie, Tuplet), rendering pipeline (SVGContext vs CanvasContext), note duration format (e.g., 'c4/q', 'd5/h'), accidental handling, multi-voice layout, Modifier system.",tool-vexflow.agent.md (MANUAL placeholder filled),4.3,P1,M,VexFlow 4.x has a significantly different API from 3.x. Ensure all class names match 4.2.2.,not-started
4,4.8,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in tool-vexflow.agent.md,"Populate Common Patterns & Pitfalls for VexFlow 4.2.2: use Factory for element creation (don't construct directly), always call Formatter.joinVoices() before format(), SVG rendering preferred over Canvas for DOM accessibility, handle beam groups explicitly for non-standard groupings, TickContext must be shared across voices in the same measure.",tool-vexflow.agent.md (MANUAL placeholder filled),4.7,P1,M,Version-specific patterns that prevent common rendering bugs.,not-started
4,4.9,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in tool-tonejs.agent.md,"Populate Key API Surface for Tone.js 14: core classes (Tone.Synth, Tone.PolySynth, Tone.Sampler, Tone.Player, Tone.Transport, Tone.Sequence, Tone.Part, Tone.Loop), audio graph (Tone.Destination, Tone.Channel, Tone.Gain), effects (Tone.Reverb, Tone.Delay, Tone.Filter), timing (Tone.now(), Tone.Time, Transport scheduling), AudioContext lifecycle (Tone.start(), Tone.context).",tool-tonejs.agent.md (MANUAL placeholder filled),4.3,P1,M,Tone.js wraps Web Audio API; document the abstraction layer not the raw API.,not-started
4,4.10,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in tool-tonejs.agent.md,"Populate Common Patterns & Pitfalls for Tone.js 14: must call Tone.start() after user gesture (browser autoplay policy), dispose() all nodes to prevent memory leaks, Transport.start() vs individual triggerAttack(), PolySynth voice allocation limits, latencyHint settings for real-time vs offline rendering, Tone.Offline for non-realtime audio generation.",tool-tonejs.agent.md (MANUAL placeholder filled),4.9,P1,M,Browser autoplay policy is the #1 gotcha for Tone.js projects.,not-started
4,4.11,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in tool-vite.agent.md,"Populate Key API Surface for Vite 5: config file (vite.config.ts/js), core concepts (dev server with HMR, Rollup-based production build), key config options (root, base, plugins, resolve.alias, build.outDir, build.rollupOptions, server.port, server.proxy), plugin API (Plugin interface, configureServer hook, transform hook, resolveId hook), environment variables (import.meta.env, VITE_ prefix).",tool-vite.agent.md (MANUAL placeholder filled),4.3,P1,M,Vite 5 has breaking changes from 4.x — ensure config options are current.,not-started
4,4.12,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in tool-vite.agent.md,"Populate Common Patterns & Pitfalls for Vite 5: use import.meta.env not process.env for client code, all env vars must start with VITE_ to be exposed, dynamic imports for code splitting, CSS modules via .module.css naming, asset handling (public/ for static, import for processed), dependency pre-bundling (optimizeDeps.include for CJS deps), HMR boundary gotchas with stateful modules.",tool-vite.agent.md (MANUAL placeholder filled),4.11,P1,M,VITE_ prefix requirement is a common mistake for developers moving from webpack.,not-started
4,4.13,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in tool-eslint.agent.md,"Populate Key API Surface for ESLint 9: flat config (eslint.config.js/mjs), rule configuration ({rules: {'rule-name': 'error'}}), key built-in rules (no-unused-vars, no-undef, eqeqeq, no-console), plugin system (import plugin, use rules object), parser configuration (espree default, @typescript-eslint/parser for TS), globals definition, languageOptions.ecmaVersion/sourceType, ignores array.",tool-eslint.agent.md (MANUAL placeholder filled),4.3,P1,M,"ESLint 9 uses flat config by default — no more .eslintrc. This is the biggest API change from 8.x.",not-started
4,4.14,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in tool-eslint.agent.md,"Populate Common Patterns & Pitfalls for ESLint 9: flat config is an array of config objects (not deeply merged like .eslintrc), no more extends — use spread operator with imported configs, plugins must be imported as ESM modules, ignores replaced .eslintignore, shareable configs must export flat config arrays, typescript-eslint v8+ required for flat config support.",tool-eslint.agent.md (MANUAL placeholder filled),4.13,P1,M,Flat config migration is the dominant concern for ESLint 9.,not-started
4,4.15,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in ref-web-midi-api-reference.md,"Populate Key API Surface for Web MIDI API: navigator.requestMIDIAccess(), MIDIAccess interface (inputs, outputs, onstatechange), MIDIInput (onmidimessage), MIDIOutput (send(), clear()), MIDIMessageEvent (data: Uint8Array), MIDIConnectionEvent, sysex permission (requestMIDIAccess({sysex: true})), message format (status byte, data1, data2).",ref-web-midi-api-reference.md (MANUAL placeholder filled),4.4,P1,M,Web MIDI is a W3C spec — reference MDN and W3C spec URLs.,not-started
4,4.16,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in ref-web-midi-api-reference.md,"Populate Common Patterns & Pitfalls for Web MIDI API: always check navigator.requestMIDIAccess availability (not supported in all browsers), handle permission denied gracefully, MIDI message parsing (status byte masking with & 0xF0 for message type, & 0x0F for channel), Note On with velocity 0 = Note Off, timing via performance.now() not Date.now(), hot-plug device handling via statechange events.",ref-web-midi-api-reference.md (MANUAL placeholder filled),4.15,P1,M,Browser support is limited — check caniuse. MIDI message byte parsing is the core competency.,not-started
4,4.17,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in ref-web-audio-api-reference.md,"Populate Key API Surface for Web Audio API: AudioContext (createOscillator, createGain, createBiquadFilter, createConvolver, createAnalyser, createDynamicsCompressor, destination), AudioNode (connect, disconnect), AudioParam (value, setValueAtTime, linearRampToValueAtTime, exponentialRampToValueAtTime), OscillatorNode (type, frequency, start, stop), GainNode (gain), AnalyserNode (getByteTimeDomainData, getFloatFrequencyData), AudioBuffer/AudioBufferSourceNode for sample playback.",ref-web-audio-api-reference.md (MANUAL placeholder filled),4.4,P1,M,This is the raw Web Audio API — distinct from Tone.js which wraps it. Document both for clarity on which layer to use.,not-started
4,4.18,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in ref-web-audio-api-reference.md,"Populate Common Patterns & Pitfalls for Web Audio API: AudioContext must be created/resumed after user gesture (autoplay policy), AudioBufferSourceNode is single-use (create new for each play), connect nodes in a graph (source → processing → destination), use AudioParam scheduling for glitch-free parameter changes (not direct .value assignment during playback), ScriptProcessorNode is deprecated → use AudioWorklet, properly disconnect and null references to prevent memory leaks.",ref-web-audio-api-reference.md (MANUAL placeholder filled),4.17,P1,M,AudioWorklet migration from ScriptProcessorNode is a critical modern pattern.,not-started
4,4.19,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in ref-ajv-reference.md,"Populate Key API Surface for AJV 8: Ajv class (new Ajv(options)), compile(schema), validate(schema, data), addSchema(), addFormat(), addKeyword(), error handling (ajv.errors, ErrorObject interface), options (allErrors, removeAdditional, useDefaults, coerceTypes, strict), format validation (addFormat), discriminator keyword support, JSON Schema draft-2020-12 support via ajv/dist/2020.",ref-ajv-reference.md (MANUAL placeholder filled),4.4,P1,M,AJV 8 has breaking changes from 7.x — strict mode is on by default.,not-started
4,4.20,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in ref-ajv-reference.md,"Populate Common Patterns & Pitfalls for AJV 8: compile schema once and reuse the validate function (don't recompile per validation), strict mode rejects unknown keywords by default (use strict: false or define custom keywords), allErrors:true for development but false for production (performance), removeAdditional:'all' strips undeclared properties, custom formats must be registered before compilation, discriminator for union types.",ref-ajv-reference.md (MANUAL placeholder filled),4.19,P1,M,Schema reuse is the #1 performance pattern for AJV.,not-started
4,4.21,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_API_SURFACE in ref-jest-reference.md,"Populate Key API Surface for Jest 29: test structure (describe, it/test, beforeEach, afterEach, beforeAll, afterAll), assertions (expect, toBe, toEqual, toMatchObject, toThrow, toHaveBeenCalledWith, toMatchSnapshot), mocking (jest.fn(), jest.mock(), jest.spyOn(), mockReturnValue, mockResolvedValue, mockImplementation), async testing (async/await, resolves/rejects matchers), configuration (jest.config.js, transform, moduleNameMapper, setupFiles, testEnvironment).",ref-jest-reference.md (MANUAL placeholder filled),4.4,P1,M,Jest 29 is broadly stable — focus on the core API surface used in MusicMaker.,not-started
4,4.22,MusicMaker Brief Enrichment,Fill MANUAL:TOOL_COMMON_PATTERNS in ref-jest-reference.md,"Populate Common Patterns & Pitfalls for Jest 29: clear mocks between tests (jest.clearAllMocks() or clearMocks:true in config), avoid jest.mock() hoisting surprises (place at top of file, use jest.requireActual for partial mocks), async test must return/await promise, toEqual for deep equality vs toBe for reference equality, snapshot testing maintenance (update with --updateSnapshot, review diffs carefully), timer mocking (jest.useFakeTimers() for setTimeout/setInterval).",ref-jest-reference.md (MANUAL placeholder filled),4.21,P1,M,Mock cleanup between tests is the #1 source of flaky Jest tests.,not-started
5,5.1,Tests & Validation,Add test for TOOL_DOCS_URL in specialist agent rendering,"Write a test in tests/test_render.py that creates a minimal manifest with a tool agent including docs_url: 'https://example.com/docs'. Render using tool-specific.template.md and assert the output contains 'https://example.com/docs' in the Official Documentation section, not '{MANUAL:TOOL_DOCS_URL}'.",tests/test_render.py (new test),1.5 + 2.1,P1,S,Tests the happy path: docs_url provided → TOOL_DOCS_URL resolved.,not-started
5,5.2,Tests & Validation,Add test for TOOL_DOCS_URL fallback when missing,"Write a test in tests/test_render.py that creates a manifest with a tool agent where docs_url is empty string. Render and assert the output contains '{MANUAL:TOOL_DOCS_URL}' (the fallback manual placeholder).",tests/test_render.py (new test),1.5 + 2.1,P1,S,Tests the fallback path: no docs_url → MANUAL placeholder emitted.,not-started
5,5.3,Tests & Validation,Add test for TOOL_DOCS_URL in reference file rendering,"Write a test in tests/test_render.py that creates a manifest with a reference tool including docs_url. Render using tool-reference.template.md and assert the output contains the URL.",tests/test_render.py (new test),1.6 + 2.14,P1,S,Tests docs_url pipeline for reference files specifically.,not-started
5,5.4,Tests & Validation,Add test verifying reference files have no YAML front matter,"Write a test in tests/test_render.py (or test_integration.py) that renders a reference file and asserts it does NOT start with '---' (YAML front matter delimiter). Reference files are documents, not agents.",tests/test_render.py or tests/test_integration.py (new test),2.13,P1,S,"This guards against regression — ensures reference files never get agent YAML front matter.",not-started
5,5.5,Tests & Validation,Add test for tool-cli template not containing infrastructure language,"Write a test that loads templates/domain/tool-cli.template.md and asserts it does NOT contain the words 'provisioning', 'deployment', 'Infrastructure Specialist', or 'service health'. These are infrastructure terms that are inappropriate for CLI tools.",tests/test_render.py (new test),3.2,P1,S,Guards against regression of the CLI template semantics fix.,not-started
5,5.6,Tests & Validation,Add test for docs_url in detect_tool_agents(),"Write a test in tests/test_analyze.py that passes a tool with docs_url to detect_tool_agents() and asserts the returned dict contains the docs_url value.",tests/test_analyze.py (new test),1.3,P1,XS,Unit test for the analyze.py pipeline change.,not-started
5,5.7,Tests & Validation,Add test for docs_url in detect_reference_tools(),"Write a test in tests/test_analyze.py that passes a tool with docs_url to detect_reference_tools() and asserts the returned dict contains the docs_url value.",tests/test_analyze.py (new test),1.4,P1,XS,Unit test for the analyze.py pipeline change.,not-started
5,5.8,Tests & Validation,Run full test suite and confirm all pass,"Run: python -m pytest tests/ -v. Confirm all existing 137 tests plus the ~7 new tests pass (target: 144+ tests). Fix any failures introduced by the template or pipeline changes.",All tests passing (144+),5.1–5.7,P0,S,Gate: no code ships until all tests pass.,not-started
6,6.1,Snapshots & Docs,Regenerate expected/ snapshots for software-project example,"Update examples/software-project/expected/ to reflect the new template content (Official Documentation, Key API Surface, Common Patterns sections). Run the pipeline against examples/software-project/brief.json and overwrite expected/ files.",examples/software-project/expected/ (updated),phases 1-3,P1,S,Expected snapshots must match the current template output exactly.,not-started
6,6.2,Snapshots & Docs,Regenerate expected/ snapshots for research-project example,"Same as 6.1 but for examples/research-project/. Run pipeline against examples/research-project/brief.json and update expected/ files.",examples/research-project/expected/ (updated),phases 1-3,P1,S,None,not-started
6,6.3,Snapshots & Docs,Regenerate expected/ snapshots for data-pipeline example,"Same as 6.1 but for examples/data-pipeline/. Run pipeline against examples/data-pipeline/brief.json and update expected/ files.",examples/data-pipeline/expected/ (updated),phases 1-3,P1,S,None,not-started
